Source,CH1,CH2
Second,Volt,Volt
-0.00006541000,3.20000,3.24000
-0.00006540000,3.20000,3.28000
-0.00006539000,3.20000,3.24000
-0.00006538000,3.20000,3.24000
-0.00006537000,3.20000,3.20000
-0.00006536000,3.20000,3.24000
-0.00006535000,3.20000,3.20000
-0.00006534000,3.20000,3.24000
-0.00006533000,3.16000,3.28000
-0.00006532000,3.16000,3.28000
-0.00006531000,3.24000,3.24000
-0.00006530000,3.20000,3.28000
-0.00006529000,3.16000,3.20000
-0.00006528000,3.16000,3.20000
-0.00006527000,3.20000,3.20000
-0.00006526000,3.16000,3.20000
-0.00006525000,3.20000,3.24000
-0.00006524000,3.20000,3.28000
-0.00006523000,3.20000,3.24000
-0.00006522000,3.20000,3.28000
-0.00006521000,3.20000,3.20000
-0.00006520000,3.20000,3.24000
-0.00006519000,3.20000,3.20000
-0.00006518000,3.20000,3.20000
-0.00006517000,3.20000,3.24000
-0.00006516000,3.20000,3.24000
-0.00006515000,3.20000,3.28000
-0.00006514000,3.20000,3.28000
-0.00006513000,3.20000,3.24000
-0.00006512000,3.20000,3.24000
-0.00006511000,3.16000,3.20000
-0.00006510000,3.20000,3.20000
-0.00006509000,3.20000,3.24000
-0.00006508000,3.24000,3.24000
-0.00006507000,3.20000,3.28000
-0.00006506000,3.20000,3.28000
-0.00006505000,3.16000,3.28000
-0.00006504000,3.16000,3.24000
-0.00006503000,3.16000,3.24000
-0.00006502000,3.20000,3.20000
-0.00006501000,3.24000,3.20000
-0.00006500000,3.24000,3.20000
-0.00006499000,3.20000,3.28000
-0.00006498000,3.20000,3.28000
-0.00006497000,3.16000,3.24000
-0.00006496000,3.20000,3.28000
-0.00006495000,3.20000,3.24000
-0.00006494000,3.24000,3.20000
-0.00006493000,3.16000,3.20000
-0.00006492000,3.24000,3.20000
-0.00006491000,3.20000,3.20000
-0.00006490000,3.16000,3.24000
-0.00006489000,3.20000,3.28000
-0.00006488000,3.20000,3.28000
-0.00006487000,3.16000,3.28000
-0.00006486000,3.20000,3.24000
-0.00006485000,3.20000,3.20000
-0.00006484000,3.20000,3.20000
-0.00006483000,3.20000,3.20000
-0.00006482000,3.20000,3.28000
-0.00006481000,3.20000,3.28000
-0.00006480000,3.24000,3.28000
-0.00006479000,3.20000,3.24000
-0.00006478000,3.16000,3.24000
-0.00006477000,3.20000,3.20000
-0.00006476000,3.20000,3.20000
-0.00006475000,3.20000,3.20000
-0.00006474000,3.20000,3.20000
-0.00006473000,3.24000,3.28000
-0.00006472000,3.20000,3.28000
-0.00006471000,3.20000,3.24000
-0.00006470000,3.20000,3.24000
-0.00006469000,3.16000,3.28000
-0.00006468000,3.20000,3.24000
-0.00006467000,3.20000,3.20000
-0.00006466000,3.20000,3.20000
-0.00006465000,3.24000,3.20000
-0.00006464000,3.20000,3.24000
-0.00006463000,3.20000,3.24000
-0.00006462000,3.20000,3.20000
-0.00006461000,3.16000,3.28000
-0.00006460000,3.16000,3.24000
-0.00006459000,3.24000,3.24000
-0.00006458000,3.20000,3.20000
-0.00006457000,3.16000,3.20000
-0.00006456000,3.20000,3.20000
-0.00006455000,3.24000,3.24000
-0.00006454000,3.16000,3.24000
-0.00006453000,3.20000,3.28000
-0.00006452000,3.16000,3.24000
-0.00006451000,3.16000,3.24000
-0.00006450000,3.24000,3.20000
-0.00006449000,3.20000,3.20000
