Source,CH1,CH2
Second,Volt,Volt
-0.00172359997,3.20000,3.24000
-0.00172319997,3.20000,3.24000
-0.00172279996,3.20000,3.24000
-0.00172240008,3.20000,3.24000
-0.00172200007,3.20000,3.24000
-0.00172160007,3.20000,3.24000
-0.00172120007,3.20000,3.24000
-0.00172080006,3.20000,3.24000
-0.00172040006,3.20000,3.24000
-0.00172000006,3.20000,3.24000
-0.00171960006,3.20000,3.24000
-0.00171920005,3.20000,3.24000
-0.00171880005,3.20000,3.28000
-0.00171840005,3.24000,3.24000
-0.00171800004,3.20000,3.24000
-0.00171760004,3.24000,3.24000
-0.00171720004,3.20000,3.24000
-0.00171680003,3.20000,3.24000
-0.00171640003,3.20000,3.24000
-0.00171600003,3.20000,3.28000
-0.00171560002,3.20000,3.24000
-0.00171520002,3.20000,3.24000
-0.00171480002,3.20000,3.24000
-0.00171440002,3.20000,3.24000
-0.00171400001,3.20000,3.24000
-0.00171360001,3.20000,3.24000
-0.00171320001,3.20000,3.24000
-0.00171280000,3.20000,3.24000
-0.00171240000,3.20000,3.24000
-0.00171200000,3.20000,3.24000
-0.00171159999,3.20000,3.24000
-0.00171119999,3.20000,3.24000
-0.00171079999,3.20000,3.24000
-0.00171039999,3.20000,3.24000
-0.00170999998,3.20000,3.24000
-0.00170959998,3.20000,3.24000
-0.00170919998,3.20000,3.24000
-0.00170879997,3.20000,3.24000
-0.00170839997,3.20000,3.24000
-0.00170799997,3.20000,3.24000
-0.00170759996,3.20000,3.24000
-0.00170720008,3.20000,3.28000
-0.00170680007,3.20000,3.24000
-0.00170640007,3.20000,3.24000
-0.00170600007,3.20000,3.24000
-0.00170560007,3.20000,3.24000
-0.00170520006,3.20000,3.24000
-0.00170480006,3.20000,3.24000
-0.00170440006,3.20000,3.24000
-0.00170400005,3.20000,3.24000
-0.00170360005,3.20000,3.24000
-0.00170320005,3.20000,3.24000
-0.00170280004,3.20000,3.28000
-0.00170240004,3.28000,3.32000
-0.00170200004,3.24000,3.24000
-0.00170160003,3.20000,3.24000
-0.00170120003,3.20000,3.24000
-0.00170080003,3.20000,3.24000
-0.00170040003,3.20000,3.24000
-0.00170000002,3.20000,3.24000
-0.00169960002,3.24000,3.28000
-0.00169920002,3.20000,3.24000
-0.00169880001,3.20000,3.24000
-0.00169840001,3.20000,3.24000
-0.00169800001,3.20000,3.24000
-0.00169760000,3.20000,3.24000
-0.00169720000,3.20000,3.24000
-0.00169680000,3.20000,3.24000
-0.00169640000,3.20000,3.24000
-0.00169599999,3.20000,3.24000
-0.00169559999,3.20000,3.24000
-0.00169519999,3.20000,3.24000
-0.00169479998,3.20000,3.24000
-0.00169439998,3.20000,3.24000
-0.00169399998,3.20000,3.24000
-0.00169359997,3.20000,3.24000
-0.00169319997,3.20000,3.24000
-0.00169279997,3.20000,3.24000
-0.00169239996,3.20000,3.24000
-0.00169199996,3.20000,3.24000
-0.00169160007,3.20000,3.24000
-0.00169120007,3.20000,3.24000
-0.00169080007,3.20000,3.24000
